Condition_x,Coordinates,Condition_y
,"49.20767222871599, -123.12882409875647",Fair
,"49.207674189448205, -123.12896135378958",Very Good
GOOD,"49.207678306498096, -123.12889061836466",
,"49.207691634305185, -123.13020551115103",Very Good
,"49.20769367435321, -123.13034276650231",Very Good
,"49.20771257918597, -123.06178358861915",Very Good
,"49.20771369140473, -123.13159008314652",Fair
GOOD,"49.20771455908998, -123.13165673216037",
,"49.20771597274819, -123.13172733385612",Poor
FAIR,"49.20773847785487, -123.13330631438353",
,"49.207740393681206, -123.13323958354458",Very Good
,"49.20774241254461, -123.13337683438426",Good
VERY POOR,"49.20774354021637, -123.06697883994904",
VERY POOR,"49.20775355570805, -123.09630135013445",
,"49.207755521385124, -123.12429163445496",Very Good
,"49.20776013249947, -123.13456050875867",Good
VERY GOOD,"49.207761658830414, -123.13462709128648",
,"49.20776218252382, -123.13469775908376",Good
GOOD,"49.20777690786047, -123.12420272716209",
,"49.20778266927505, -123.13609122571164",Very Good
,"49.207782750216516, -123.11896718288072",Very Good
VERY GOOD,"49.20778279800317, -123.13615783463378",
VERY GOOD,"49.207784292629796, -123.11903402708728",
,"49.20778471036978, -123.13622847691985",Good
VERY POOR,"49.20779148123004, -123.0926035363747",
,"49.207805504245286, -123.1451095451938",Very Good
,"49.20780559672015, -123.13762141097499",Poor
,"49.20780763216254, -123.13775866591284",Good
,"49.207816635599094, -123.04496952045723",Very Good
GOOD,"49.20782510732724, -123.13769019485",
POOR,"49.20782802899892, -123.13921867089208",
,"49.207828415769974, -123.1391520386257",Very Good
,"49.20783041857854, -123.13928929135926",Good
FAIR,"49.20783132358471, -123.14220555464041",
,"49.2078747479974, -123.06607262943845",Very Good
,"49.207883903789515, -123.0608897896346",Very Good
,"49.20790420301721, -123.04501129082438",Very Good
,"49.207908001097195, -123.02716354106262",Good
GOOD,"49.20795362382417, -123.06878784212252",
,"49.207955565403665, -123.14166591935226",Fair
,"49.20795578588202, -123.0608027595873",Very Good
,"49.2079629785295, -123.06432945136244",Very Good
FAIR,"49.207973842017765, -123.05834182970426",
GOOD,"49.20797782754866, -123.02716506794408",
,"49.20799212813617, -123.12211537092386",Very Good
VERY POOR,"49.207995460444224, -123.09018657537547",
VERY GOOD,"49.20799715094935, -123.14170429165581",
,"49.20799823564117, -123.02715311861526",Poor
,"49.20801916276177, -123.06446444673782",Very Good
GOOD,"49.20802648583419, -123.06289375579543",
POOR,"49.20803557965276, -123.1102007467183",
,"49.208047667522834, -123.14166282572066",Good
,"49.208053911531884, -123.04058728711476",Very Good
GOOD,"49.20805760055684, -123.0621289713634",
VERY POOR,"49.20806302759378, -123.09263161194838",
,"49.20808170399243, -123.11729523242579",Very Good
,"49.20808407590263, -123.06219531606955",Very Good
GOOD,"49.20810878842738, -123.11722336548436",
,"49.20811052160661, -123.06330572799398",Very Good
,"49.20812343476752, -123.11715548832844",Very Good
,"49.20812927111278, -123.06233184135317",Very Good
,"49.208130535451424, -123.06957957763396",Very Good
FAIR,"49.208143426468105, -123.10676994722596",
,"49.2081443833737, -123.04057586606913",Very Good
,"49.20820871588165, -123.12030540991861",Good
NO DATA,"49.20821423736277, -123.08921184099988",
,"49.20821686792104, -123.06332338205287",Very Good
,"49.208218038291555, -123.03492842986344",Fair
,"49.2082406307786, -123.1404661294951",Very Poor
VERY POOR,"49.20825374686014, -123.12025539342358",
POOR,"49.208267050938225, -123.09021465872365",
,"49.2082731260213, -123.14226398929493",Good
,"49.2082878231334, -123.14212625691907",Good
GOOD,"49.20828907066003, -123.03497843915497",
VERY POOR,"49.208291292805995, -123.1023757071094",
GOOD,"49.20830002820565, -123.06438811920711",
VERY GOOD,"49.208304827381994, -123.08083808263555",
,"49.20830512786948, -123.03502284531125",Very Good
,"49.20831111843866, -123.10230695823482",Very Poor
,"49.20831313684387, -123.1228925804934",Very Good
,"49.2083354125097, -123.08670104094318",Very Good
,"49.20833964688326, -123.12459337925333",Very Good
VERY GOOD,"49.20834846445818, -123.14889018313755",
,"49.20835452020756, -123.12558236460794",Very Good
,"49.208374088891624, -123.12686941465434",Poor
,"49.208394353438635, -123.1281790226181",Very Good
,"49.20839756881865, -123.14894873646529",Fair
,"49.208401501451, -123.12278764343549",Fair
,"49.20841554575493, -123.12956006148387",Good
,"49.20843646114851, -123.13093875039539",Very Good
,"49.20844340447898, -123.12551058771032",Very Good
,"49.208459066828446, -123.13245482634537",Very Good
,"49.20846348313928, -123.12683170320783",Very Good
GOOD,"49.208480460866326, -123.06957380220724",
,"49.208481181819096, -123.1339420900309",Good
,"49.208484275975486, -123.12817576100625",Very Good
,"49.208501396180374, -123.1413552138131",Very Good
,"49.20850265070179, -123.13536794784478",Very Good
,"49.20850547282283, -123.12955711815563",Very Good
POOR,"49.20850696280498, -123.08573303280134",
,"49.20852189225194, -123.13664471705636",Poor
FAIR,"49.208522445306805, -123.06781209238066",
,"49.20852421399757, -123.14298091667139",Very Good
,"49.20852639218224, -123.13093557533375",Very Good
,"49.208533472790236, -123.13742193318852",Good
,"49.20853543567488, -123.12081903209989",Fair
,"49.20854875260576, -123.13243681241663",Very Good
,"49.20854923398185, -123.13848485243341",Very Good
,"49.20855129192276, -123.14463127459734",Very Good
FAIR,"49.20856184078884, -123.08672194547553",
,"49.208569418466226, -123.13985885569173",Very Good
,"49.20857035986848, -123.13388736238663",Very Good
FAIR,"49.20857121862377, -123.09405972580937",
VERY GOOD,"49.20857793750231, -123.08328979105336",
,"49.20859081788237, -123.14131772593568",Very Good
,"49.208591925905765, -123.13532192212193",Very Good
,"49.208595794987346, -123.12092989273802",Very Good
FAIR,"49.208599760461716, -123.06612925298845",
,"49.208613048402185, -123.14290938183613",Good
,"49.208624059841654, -123.13746223906074",Very Good
,"49.20863143890227, -123.14394865707219",Very Good
,"49.208636136213656, -123.11095278586099",Very Good
,"49.2086396781454, -123.13851620913282",Very Good
,"49.20864240431857, -123.14471106780731",Very Good
,"49.208645919810635, -123.06099851548947",Very Good
,"49.20865361958566, -123.08292991184148",Very Good
,"49.208658122503465, -123.1457416277585",Very Good
,"49.208659350159316, -123.13985603304835",Very Good
GOOD,"49.20868096462203, -123.11091711837939",
,"49.208695677850855, -123.06331590707902",Very Good
FAIR,"49.208700177405795, -123.11518216651038",
,"49.20871075594467, -123.09399308349214",Good
,"49.20873559290145, -123.06094996918512",Very Good
,"49.208754264707764, -123.14736563549248",Very Good
,"49.2087800853316, -123.11904802975069",Good
,"49.20878327465911, -123.06430744777873",Very Good
,"49.20878456258343, -123.1242563801768",Good
,"49.20878553683458, -123.11891032981191",Very Good
,"49.20879040804275, -123.06329717144405",Very Good
GOOD,"49.20879560083954, -123.11897672355299",
VERY GOOD,"49.208812887782706, -123.12610893461598",
,"49.20881327908658, -123.1260249414137",Poor
VERY POOR,"49.208836489281886, -123.07135374446618",
VERY GOOD,"49.20884649094339, -123.0583127837768",
FAIR,"49.208852057072434, -123.08004907090665",
VERY GOOD,"49.20887219444227, -123.12418282352102",
,"49.20888452752419, -123.05834848596054",Very Good
FAIR,"49.208920762709056, -123.0824735523664",
,"49.20895090986975, -123.06605508706966",Very Good
,"49.209019282886025, -123.11966533354718",Poor
VERY POOR,"49.20903336775647, -123.07270670161606",
,"49.20903902462743, -123.05596453195334",Very Good
,"49.20904239836791, -123.12040515838262",Very Good
VERY POOR,"49.20906890882897, -123.14638808653004",
,"49.20910779260196, -123.11022036258169",Very Good
VERY GOOD,"49.209140189784065, -123.13577927717043",
,"49.20914127377954, -123.11962939576331",Good
POOR,"49.209145897122276, -123.13692949165556",
POOR,"49.20914975269168, -123.08076532290465",
VERY GOOD,"49.209156656037194, -123.1378140598558",
,"49.209160048201824, -123.12512838679717",Good
,"49.20916284944694, -123.13571184501411",Very Good
,"49.20916486504298, -123.13584911431082",Very Good
GOOD,"49.20919849736282, -123.09844981395253",
VERY POOR,"49.20920531990243, -123.12512489364624",
,"49.20920608828036, -123.02975892997685",Very Poor
,"49.20920943432932, -123.02954238558753",Good
FAIR,"49.20921533756257, -123.07898767369696",
VERY POOR,"49.20927068850934, -123.07466059781338",
VERY GOOD,"49.20928254168885, -123.1522145578266",
,"49.20929853599483, -123.12224728564782",Poor
GOOD,"49.20930416637064, -123.07264296047612",
VERY GOOD,"49.20930603803796, -123.02916742177223",
GOOD,"49.20934391910056, -123.12224945120542",
,"49.209360612466924, -123.0652918502122",Very Good
VERY POOR,"49.20936175135867, -123.11013848170752",
VERY GOOD,"49.209367146462995, -123.14456742419698",
GOOD,"49.209377338022435, -123.10451175966666",
,"49.20938845969587, -123.12224363792919",Very Good
,"49.20942780582062, -123.06519128696516",Very Good
GOOD,"49.209463369330386, -123.10841562746101",
VERY POOR,"49.20947205634418, -123.09362667308916",
GOOD,"49.20948369077629, -123.07560053273899",
,"49.209489903263076, -123.11854544207189",Very Good
,"49.20949789632587, -123.07125199478236",Very Good
VERY GOOD,"49.209498109966354, -123.06302343703493",
,"49.20950285162581, -123.06327139390847",Very Good
VERY GOOD,"49.209505082677424, -123.12031308476931",
VERY GOOD,"49.209515381618935, -123.07132009019212",
VERY GOOD,"49.20951651459511, -123.08143416453107",
,"49.20952473794959, -123.1405604990775",Very Good
,"49.20952845827272, -123.1242307375536",Very Good
GOOD,"49.209544551362, -123.14207461816851",
,"49.209547163017085, -123.11866352344117",Good
,"49.20954717600091, -123.14200606679331",Very Good
,"49.20954930799519, -123.14214332372791",Good
POOR,"49.20955379095345, -123.14575441538868",
NO DATA,"49.20955429225638, -123.12744490045904",
,"49.20955663276446, -123.12737802107551",Very Good
,"49.20955874229116, -123.1275152862373",Fair
FAIR,"49.209560568910945, -123.06956227412432",
POOR,"49.209572025642075, -123.14366359634687",
,"49.20957250448465, -123.14359693672989",Very Good
