Condition_x,Coordinates,Condition_y
,"49.242307873243625, -123.18031104904243",Very Good
POOR,"49.242309313927166, -123.16908193677196",
POOR,"49.24231275667563, -123.07357729784196",
,"49.24231278282327, -123.07350919104555",Good
,"49.24231494865478, -123.0736465401421",Good
,"49.24231540556528, -123.03770915553012",Fair
,"49.2423189587153, -123.18361307537415",Poor
VERY POOR,"49.24231912071807, -123.17160981268366",
,"49.24232664302736, -123.16483792405293",Fair
POOR,"49.24232977529881, -123.17437124124856",
VERY GOOD,"49.24233008995706, -123.07485368613466",
,"49.24233080757236, -123.18671228854221",Good
,"49.24233343080486, -123.074785500227",Very Good
,"49.24233557263529, -123.07492284253165",Good
,"49.2423383805233, -123.13924343176768",Very Good
FAIR,"49.24234009617147, -123.02993667041449",
NO DATA,"49.242340735758354, -123.17720822496403",
,"49.24234417104289, -123.18953714092731",Very Good
,"49.242345436233975, -123.16674617863968",Very Good
VERY POOR,"49.242352652787076, -123.18031311889307",
,"49.24235443097571, -123.16907656505951",Good
,"49.24235735184339, -123.19229514547246",Fair
FAIR,"49.24235974079579, -123.12425947379297",
VERY POOR,"49.24236371757708, -123.18361036391398",
,"49.2423642974372, -123.17161673897368",Good
,"49.242371469688095, -123.195254152985",Fair
,"49.242372116638904, -123.13263090869278",Good
,"49.2423749575109, -123.17437652349074",Very Good
FAIR,"49.242375544546704, -123.1867083820231",
,"49.24237760436946, -123.02989911206514",Good
VERY POOR,"49.24238234569732, -123.13270939673676",
,"49.24238590541134, -123.1772070913476",Good
,"49.24238641414017, -123.13278754964094",Poor
FAIR,"49.24238888940972, -123.18953161051158",
,"49.24239782676282, -123.18031016294763",Good
FAIR,"49.24240208524702, -123.19229301451159",
,"49.242404708835565, -123.12425743032804",Very Good
VERY POOR,"49.242408612167594, -123.12893457938245",
,"49.242408911484475, -123.1836121298978",Good
,"49.24241507891311, -123.04210449312477",Fair
FAIR,"49.24241611765214, -123.19523301679496",
POOR,"49.242416570760994, -123.126369347388",
,"49.24242092576272, -123.1867456937062",Very Poor
,"49.24242528117253, -123.12893005036535",Good
,"49.242429602032644, -123.09677007185303",Very Good
,"49.24243039490145, -123.1422154733729",Very Good
,"49.242433956211435, -123.18950178441193",Very Poor
FAIR,"49.24243950730782, -123.1422801221253",
,"49.24244207605379, -123.14235138884992",Very Good
,"49.242447301735126, -123.19229397660284",Fair
VERY GOOD,"49.242453230864804, -123.0420671605627",
,"49.24245380181465, -123.09690648997562",Very Good
,"49.242454569713296, -123.0820589299228",Very Good
,"49.24245799147172, -123.03324420656917",Very Good
,"49.24246142388841, -123.19525311315554",Very Good
GOOD,"49.242469442231695, -123.03318288563304",
POOR,"49.24248825913084, -123.06939522184841",
,"49.24248878576912, -123.069464424406",Very Good
POOR,"49.24248966349883, -123.08077711437737",
,"49.242491905601014, -123.08694252224132",Good
POOR,"49.24249990449582, -123.08204776711426",
GOOD,"49.24250585503689, -123.0317809632788",
,"49.242507729100154, -123.08910423830174",Fair
VERY GOOD,"49.24250782554448, -123.07077224608716",
FAIR,"49.24250875734153, -123.04692426597492",
FAIR,"49.24251085636088, -123.08338718821592",
VERY GOOD,"49.24251239660236, -123.07698247217725",
VERY GOOD,"49.24252054769301, -123.07826698414985",
VERY POOR,"49.24252333328771, -123.08500137794685",
GOOD,"49.24252635667225, -123.07955994121752",
VERY POOR,"49.242537290753255, -123.0869384294643",
,"49.242543008058895, -123.04550265189972",Very Poor
,"49.24254446545302, -123.08205053296405",Very Good
POOR,"49.242546708492085, -123.04034438702874",
GOOD,"49.24255310101091, -123.08910215785211",
,"49.2425542793244, -123.0469617917883",Fair
,"49.242554301068736, -123.06932425264579",Fair
,"49.24255540690365, -123.08338599220912",Very Good
POOR,"49.24255604606056, -123.1534427403597",
,"49.24255696777255, -123.0769816846181",Very Good
,"49.2425571710053, -123.15351239065855",Very Good
,"49.24256511361897, -123.07826915313848",Very Good
FAIR,"49.242566944445066, -123.04556062817908",
,"49.242567868101574, -123.08500009324565",Good
,"49.242568982829816, -123.07955713008317",Very Good
GOOD,"49.24257129364742, -123.02434245072136",
,"49.24258184185925, -123.08694004228357",Good
VERY POOR,"49.24258240296163, -123.15554626022411",
,"49.24258532177419, -123.15561580704299",Very Good
,"49.24259767343141, -123.08910210002041",Fair
VERY GOOD,"49.24260479838089, -123.09226090807773",
,"49.2426161672164, -123.0243358339297",Very Good
,"49.24263474083642, -123.09155355763086",Good
,"49.242638447908426, -123.1014577197997",Very Good
,"49.24263917069306, -123.10132023723173",Good
,"49.242653280167396, -123.03657474539389",Very Good
,"49.24265598296783, -123.10261023452668",Very Good
GOOD,"49.242656767371045, -123.10267808882253",
,"49.24265836607838, -123.10274757257575",Good
FAIR,"49.24266668772627, -123.05220213720928",
,"49.24267538539604, -123.09348254577618",Fair
VERY GOOD,"49.24268467713255, -123.09585843315772",
VERY POOR,"49.24269278065848, -123.03654086499257",
,"49.24269854543802, -123.11841780722095",Very Good
,"49.24270139955602, -123.05215919075673",Very Good
,"49.242704450521266, -123.14390190686382",Good
VERY POOR,"49.24271152210788, -123.1439648528372",
,"49.24272125335575, -123.1440362537473",Good
,"49.24272467657212, -123.09555791726525",Good
,"49.24272947697929, -123.03650173370337",Very Good
,"49.2427441706953, -123.06338026194902",Very Good
,"49.24274942116186, -123.07626306663468",Very Good
,"49.24275108391653, -123.09721858600983",Very Good
,"49.242755730592464, -123.06462004830925",Very Good
,"49.24275720947966, -123.1316115462398",Very Good
,"49.24275911162162, -123.12052262522434",Very Good
FAIR,"49.24276084405493, -123.1205912758734",
,"49.242761039970304, -123.14544163277283",Good
,"49.24276318774194, -123.14557898625387",Good
FAIR,"49.24276332272221, -123.14550932452008",
FAIR,"49.2427692621757, -123.06800141623575",
GOOD,"49.24276978904361, -123.16558690251067",
,"49.24277089832937, -123.16565648593661",Very Good
POOR,"49.24277412463435, -123.16788629059222",
VERY POOR,"49.24278294282547, -123.04963574098498",
FAIR,"49.24278521357842, -123.10138141874657",
VERY POOR,"49.242785981961774, -123.13160555738783",
,"49.242788028620105, -123.14673779380654",Very Good
,"49.242788229214405, -123.17016265293496",Very Good
,"49.24278875987973, -123.17030004316044",Very Good
FAIR,"49.242789193529134, -123.06335046371278",
POOR,"49.24279082566939, -123.17023043956479",
,"49.24279193442049, -123.16551829813602",Very Good
VERY POOR,"49.242793285177356, -123.14681220395656",
,"49.242796070555926, -123.07639907058828",Very Good
FAIR,"49.24279802607619, -123.17299313502885",
,"49.242799384127345, -123.17306268810107",Very Good
FAIR,"49.2428023639207, -123.06461911037566",
GOOD,"49.24280732765549, -123.03968751732131",
GOOD,"49.24281002491611, -123.17574889676723",
,"49.24281579522391, -123.05120357494935",Good
,"49.2428167664678, -123.05792843481659",Very Good
,"49.242820414977075, -123.17858600860177",Poor
,"49.242820958113484, -123.17872339914346",Very Good
VERY GOOD,"49.24282142005239, -123.17865384031843",
,"49.24282278682258, -123.13705465749686",Good
,"49.24282287455922, -123.04310347750088",Very Good
,"49.24283396522893, -123.06336317554705",Very Good
,"49.24283504937952, -123.1818874481833",Very Good
,"49.24283547616055, -123.18202483150841",Fair
POOR,"49.242835984210046, -123.18195528037552",
FAIR,"49.24284180931267, -123.04791159441251",
,"49.24284468640645, -123.18518927640565",Good
GOOD,"49.24284535302183, -123.18525711675696",
,"49.242848417465375, -123.04782418156333",Very Poor
,"49.24285185167159, -123.04992942327968",Poor
POOR,"49.24285334566526, -123.0578884612481",
GOOD,"49.242857669658996, -123.09689497115332",
POOR,"49.24285856633617, -123.05124318146302",
POOR,"49.24286013345787, -123.04306395757563",
VERY GOOD,"49.24286428072664, -123.06592234091595",
VERY POOR,"49.24286682507564, -123.1370744064255",
,"49.24286774623654, -123.18532638040256",Very Good
FAIR,"49.242868062417045, -123.10896506754848",
VERY GOOD,"49.24286885182188, -123.19090857160825",
,"49.2428715947247, -123.19097811064053",Very Good
,"49.24287599877145, -123.03848549492024",Very Good
,"49.24288079982632, -123.05559745506918",Good
FAIR,"49.24288170476809, -123.19366937839051",
,"49.24288272949165, -123.08408699372687",Very Good
,"49.24288411222573, -123.19360148406533",Very Good
FAIR,"49.24288539084667, -123.08401748632649",
,"49.24288604762549, -123.04795034071307",Very Good
,"49.24288683001223, -123.05416281930385",Good
,"49.24289345573127, -123.19084052237974",Good
,"49.2428969853135, -123.0858953299077",Very Good
VERY POOR,"49.24289750646417, -123.08596324938087",
VERY POOR,"49.242899256001074, -123.19678300452695",
,"49.242899325177795, -123.04303013086569",Very Good
,"49.24290209661497, -123.05128223678628",Very Good
,"49.242904000151455, -123.08394898163137",Good
,"49.24290478014102, -123.04980071283606",Good
,"49.24291041905399, -123.0659217186126",Good
,"49.24291412066294, -123.1370866130033",Very Good
,"49.24291423778948, -123.09866389263408",Very Good
,"49.24291701240313, -123.09880121137977",Very Good
VERY POOR,"49.242920238073324, -123.03852414314258",
,"49.24292251664401, -123.06052487241594",Very Good
POOR,"49.24292747413857, -123.04062443176788",
,"49.24292850724061, -123.0259375679942",Fair
POOR,"49.24293173744272, -123.04127293230438",
GOOD,"49.242932210237036, -123.05558901054843",
,"49.24293491408567, -123.07286459489828",Very Good
,"49.24293760144291, -123.02728863041614",Very Good
,"49.242940449934565, -123.09755698921705",Fair
,"49.24294275118351, -123.03858377322524",Very Good
,"49.242950109794506, -123.09993139020787",Very Good
,"49.2429527119863, -123.10006871564593",Good
FAIR,"49.242956317393606, -123.02597840058617",
,"49.242956482984354, -123.12783591311667",Very Good
,"49.242958225103756, -123.07419627912167",Very Good
VERY POOR,"49.242958654057425, -123.02735326870824",
,"49.24295889955172, -123.05689295067282",Very Good
,"49.24296005580764, -123.05553088704121",Good
GOOD,"49.24296139310834, -123.09748664475595",
,"49.24296932871838, -123.0412361321525",Very Good
,"49.242976888530215, -123.12769777994961",Very Good
,"49.24297822614497, -123.02741233039683",Very Poor
,"49.242981359876644, -123.07557785580352",Very Good
,"49.24298246360218, -123.06041601750489",Very Good
,"49.24298327220302, -123.09741789168297",Very Good
VERY POOR,"49.24298378805993, -123.07285326144827",
,"49.24300055102601, -123.07148049675895",Good
VERY POOR,"49.24300223641117, -123.07145818576899",
VERY POOR,"49.243003606888095, -123.07419187431712",
,"49.24301833548758, -123.05700283346788",Good
POOR,"49.24302525023159, -123.15416178296714",
VERY GOOD,"49.2430266961067, -123.07557217411886",
GOOD,"49.24302831165356, -123.08789469168096",
,"49.24304593238885, -123.12998362589163",Good
,"49.2430484754592, -123.09035444559117",Very Good
VERY GOOD,"49.24304924988477, -123.0902849574962",
FAIR,"49.24305333281352, -123.13005112256147",
,"49.24306197424997, -123.13012048703753",Very Good
,"49.24306868372305, -123.0942810308211",Very Good
,"49.24307031964583, -123.15416300792025",Very Poor
FAIR,"49.243078225552914, -123.15703527423582",
,"49.243085354251704, -123.03762862818792",Fair
VERY GOOD,"49.2430926160826, -123.0942110452966",
FAIR,"49.24310822284894, -123.05403380817945",
,"49.24311069796633, -123.09686308604317",Good
GOOD,"49.243112846900125, -123.05688886941141",
FAIR,"49.24312293750934, -123.05327399082309",
VERY POOR,"49.24312476800352, -123.03759430326761",
,"49.24312513893959, -123.14068511355386",Fair
VERY POOR,"49.24312624899576, -123.14068175373795",
,"49.24312768169451, -123.15730819164376",Very Poor
,"49.243136951633105, -123.0622068707692",Very Good
,"49.243137748389515, -123.02916449065603",Very Good
,"49.24315973241497, -123.0532354922665",Very Good
,"49.243161461548844, -123.03755538923966",Very Good
VERY GOOD,"49.24317414210668, -123.062250317166",
VERY POOR,"49.24317830556697, -123.02913318329571",
VERY POOR,"49.243180123243064, -123.14292952756216",
,"49.243180315185, -123.09809907418648",Very Good
,"49.243180453972414, -123.13935738719665",Very Good
,"49.24319676184999, -123.16136683900237",Poor
,"49.243200402261, -123.11939348625738",Good
,"49.243203161064244, -123.07081195519805",Very Good
,"49.24320342334045, -123.099352840172",Good
,"49.243204622968626, -123.16672622366129",Good
NO DATA,"49.24321183927836, -123.16251202194489",
,"49.243211858956144, -123.08498200022095",Good
,"49.24321297513799, -123.1625779710672",Very Good
,"49.24321353658681, -123.16905390930718",Good
,"49.24321497408592, -123.02909351065158",Very Good
,"49.24321721398269, -123.16244391182705",Very Good
,"49.24322124460475, -123.14290630039548",Very Good
,"49.243223319159824, -123.17160861473207",Fair
POOR,"49.2432257665694, -123.09810254377612",
,"49.24322633513275, -123.10067415172153",Very Good
,"49.24322960795734, -123.06227323800677",Fair
,"49.243233819283944, -123.17436723752586",Very Good
,"49.24323459323938, -123.13921818517449",Very Good
,"49.243241296220994, -123.16400374907452",Very Good
POOR,"49.243241593136574, -123.11927530267953",
,"49.24324433834255, -123.17719734925282",Good
,"49.24324784442011, -123.16414429670824",Fair
POOR,"49.2432486568462, -123.16135737588948",
VERY POOR,"49.24324871127903, -123.09935231002002",
GOOD,"49.243249455315905, -123.16672545272245",
,"49.24324947789284, -123.10200559937235",Good
POOR,"49.24325067764021, -123.16407833701984",
,"49.2432550130715, -123.04416022168128",Very Good
GOOD,"49.243257274285114, -123.08498227258113",
,"49.243257859775554, -123.18030076563548",Very Good
FAIR,"49.24325833338734, -123.1690472937332",
POOR,"49.243267452257605, -123.08691930569323",
GOOD,"49.243268108851915, -123.17160268908289",
,"49.243270231885234, -123.09809523995756",Fair
,"49.243270398068496, -123.1836020615697",Very Good
,"49.24327086775378, -123.0636415587683",Good
,"49.243271562494996, -123.10333329235527",Fair
VERY GOOD,"49.24327168758157, -123.10067074318265",
FAIR,"49.24327860941503, -123.17436417070316",
,"49.24328897533245, -123.11934939846502",Very Good
GOOD,"49.24328912589208, -123.17719435260892",
,"49.24329333654676, -123.09934868046881",Very Poor
,"49.243293546120086, -123.10455891951341",Good
,"49.24329422451455, -123.16131624515201",Very Good
,"49.243294569396525, -123.16672412902781",Very Good
VERY GOOD,"49.243294638124524, -123.1020029728848",
,"49.24329559075435, -123.13520881775074",Very Good
,"49.24330179518323, -123.08497948919043",Very Good
POOR,"49.243302653595, -123.18029928451703",
,"49.24330348124336, -123.16905306227348",Very Good
,"49.243308407520146, -123.19228580693667",Very Good
,"49.24330913422389, -123.08629583391375",Very Good
FAIR,"49.243310981013735, -123.07354358964568",
,"49.24331326384123, -123.17160776546875",Poor
,"49.24331332009354, -123.07361280513241",Very Good
,"49.24331358107594, -123.08726346513535",Good
GOOD,"49.24331518494257, -123.18359656278109",
,"49.24331542635517, -123.13538219511331",Very Good
GOOD,"49.24331603570504, -123.1032939561972",
GOOD,"49.243316141605845, -123.03521025240671",
,"49.24331624749931, -123.10067004671662",Very Good
,"49.24331777500841, -123.0309152399745",Good
POOR,"49.24331879259578, -123.13530166697446",
,"49.24332162087335, -123.19524523177738",Poor
,"49.24332376417689, -123.17436626275301",Fair
,"49.24333008522187, -123.06353240253947",Very Good
,"49.24333339999805, -123.07347457948995",Very Good
,"49.243334288649564, -123.17719644579839",Fair
VERY POOR,"49.24333741390061, -123.03097749253378",
FAIR,"49.24333934039607, -123.10458487865142",
,"49.24333939765006, -123.10200151473245",Very Good
,"49.243340363408215, -123.04238880705014",Very Good
,"49.24334166079944, -123.04325111178122",Very Good
,"49.243347812277634, -123.18029976252438",Very Good
,"49.24335237078011, -123.06652706382114",Very Good
FAIR,"49.243353159304505, -123.1922861112344",
,"49.24335366102383, -123.07624518844317",Very Good
,"49.243353719916975, -123.06971513217252",Fair
,"49.243354369504104, -123.06666441526791",Very Good
,"49.24335541880401, -123.07638255364233",Very Good
,"49.24336034843665, -123.18360089826189",Very Good
,"49.24336083030606, -123.10329489050896",Good
FAIR,"49.24336516767782, -123.04330960653456",
FAIR,"49.2433662580363, -123.19521931258228",
,"49.24338405027197, -123.10458921345915",Good
FAIR,"49.24338682760279, -123.0443514625475",
POOR,"49.24339097316047, -123.04238178906682",
,"49.24339835223544, -123.19228503644432",Good
VERY GOOD,"49.2434039997036, -123.07004585273695",
,"49.24341156551982, -123.19524451474626",Very Good
,"49.24342840205309, -123.04234457323764",Very Good
,"49.243431326196045, -123.11769248912046",Very Good
GOOD,"49.24343833816376, -123.05916375165208",
,"49.243438361987884, -123.06804623481779",Very Good
FAIR,"49.24345103819391, -123.0652141852413",
POOR,"49.24345263892933, -123.06390840942625",
,"49.24345863758829, -123.06790806865915",Very Good
,"49.24345933093504, -123.09556307740331",Poor
,"49.24346107846075, -123.06514558812397",Good
,"49.24346567933056, -123.13438644288308",Fair
VERY GOOD,"49.24346772915806, -123.11299729902345",
,"49.24347624765271, -123.08907899323644",Very Good
,"49.24348448606597, -123.03496422805709",Very Good
,"49.24348513026659, -123.11780918037934",Poor
,"49.2434854548367, -123.0652821981353",Very Good
VERY GOOD,"49.24348679728136, -123.11703686455617",
GOOD,"49.24349326613772, -123.07217865066734",
,"49.24350329056247, -123.03292817732763",Poor
GOOD,"49.24350343991125, -123.1508026526871",
POOR,"49.24350550992418, -123.09555193009571",
,"49.24350664254169, -123.15088556265592",Good
,"49.24350822764515, -123.07225006913811",Very Good
POOR,"49.24350833024727, -123.05807747384523",
,"49.243509271603536, -123.09223845446076",Good
,"49.2435170919707, -123.08010893104446",Fair
VERY POOR,"49.243518521083445, -123.13440079241839",
VERY POOR,"49.24351967838664, -123.02495452654578",
POOR,"49.24352170195375, -123.08908369265865",
FAIR,"49.24353174817485, -123.027528222388",
,"49.24353207898885, -123.03508175748708",Very Good
VERY POOR,"49.243534115154226, -123.14458818425744",
POOR,"49.243536897923434, -123.09870366651843",
GOOD,"49.24353774663419, -123.04004207905506",
,"49.24354066475562, -123.08024574327237",Good
,"49.24354099723791, -123.02379317571553",Very Good
GOOD,"49.243541302161454, -123.08017636061476",
,"49.24354217544457, -123.02488624645397",Very Good
,"49.24354239196376, -123.12889119390431",Good
FAIR,"49.243542587242885, -123.03289374385433",
,"49.243542685330574, -123.02502364403975",Very Good
VERY POOR,"49.24354414103049, -123.07759870215207",
,"49.24354594218549, -123.07753059366875",Fair
,"49.243546870864584, -123.0776679787707",Poor
,"49.24354764210282, -123.08128037557918",Good
,"49.243548530336994, -123.0814177675612",Fair
POOR,"49.243549071836206, -123.08134836860481",
,"49.24354927163745, -123.09556087410535",Very Good
POOR,"49.243550846663325, -123.07888672824488",
FAIR,"49.24355400412637, -123.09223840720699",
,"49.24355498339298, -123.07881858233328",Very Good
,"49.24355596001883, -123.07895596069213",Very Good
,"49.24355655304838, -123.08266690121658",Very Good
,"49.24355747112181, -123.0828042864294",Poor
FAIR,"49.24356097324205, -123.08273485027843",
FAIR,"49.24356179499564, -123.12889296658642",
,"49.24356618201799, -123.08907656347291",Very Good
,"49.2435683489654, -123.13440637428056",Very Good
VERY POOR,"49.24357182121976, -123.14621743150481",
VERY GOOD,"49.24357329728959, -123.09997113142961",
,"49.24357860786419, -123.12888989630058",Good
,"49.243579537872996, -123.08393052114988",Good
,"49.24358087722674, -123.08406790031056",Good
VERY GOOD,"49.2435824065697, -123.08399843407437",
,"49.24358323871936, -123.14461235763393",Very Good
,"49.2435938031113, -123.14166841498506",Poor
POOR,"49.24359438128071, -123.14174092443697",
,"49.24359513642917, -123.08587555962734",Good
,"49.243599206685865, -123.09223620775182",Good
,"49.243608718505726, -123.07491961630939",Very Good
,"49.24361295149598, -123.03891592358683",Good
,"49.24361702718058, -123.14623199761382",Very Good
,"49.24362538834193, -123.14179777895066",Very Good
VERY POOR,"49.243652195269824, -123.03888130133312",
POOR,"49.24365397320595, -123.07491626824556",
,"49.24367028221809, -123.05503576425376",Good
,"49.24367260791839, -123.05971770335795",Very Good
,"49.24368360545162, -123.05672377861268",Very Good
,"49.24369864892202, -123.07491663217986",Very Good
POOR,"49.2437024064621, -123.03630529799588",
,"49.243706212528274, -123.13290454825645",Very Good
GOOD,"49.243715569988765, -123.05505886012787",
,"49.24371985806437, -123.03620597396055",Very Good
VERY POOR,"49.24372667470561, -123.13296111330752",
GOOD,"49.24373185897233, -123.16787588495447",
POOR,"49.24373530766144, -123.17022211541544",
,"49.243736996608064, -123.17015427989114",Very Good
,"49.243737540772415, -123.17029167271214",Good
,"49.243742268286255, -123.13303290892227",Very Poor
,"49.24374233502481, -123.0518261551216",Poor
,"49.24374392111301, -123.03634484945022",Very Good
GOOD,"49.24374700016987, -123.172983567555",
,"49.2437484369428, -123.17305311132962",Fair
GOOD,"49.24375618627176, -123.05189402828329",
GOOD,"49.24375899138454, -123.17573796629262",
,"49.24376025528221, -123.05505514402421",Very Poor
,"49.243766892700336, -123.05196518708178",Very Good
,"49.24376998412956, -123.17857732190606",Good
GOOD,"49.243770399612664, -123.17864516512199",
,"49.24377056326456, -123.17871470834238",Good
,"49.243775110134365, -123.18531497212567",Very Good
FAIR,"49.243784952847335, -123.18194451984259",
,"49.2437854002049, -123.18187665686067",Good
,"49.24378588953384, -123.09738668880892",Fair
,"49.243785889951084, -123.18201404992308",Very Good
,"49.24379693296464, -123.18517729840826",Very Good
GOOD,"49.2437988148178, -123.18524513143326",
,"49.24380156073439, -123.19083268233662",Very Good
FAIR,"49.2438081072577, -123.04109398592404",
,"49.24381512602055, -123.09752298350527",Good
GOOD,"49.243815662252096, -123.0974534393535",
,"49.243816888404886, -123.12048854143946",Very Good
POOR,"49.24381758393223, -123.12055723612494",
GOOD,"49.24382233097654, -123.19090034674903",
,"49.2438245957632, -123.1909698847588",Good
,"49.2438341261836, -123.09862237820049",Very Good
VERY GOOD,"49.24383518456578, -123.19366078671878",
,"49.24383655451091, -123.09875971941274",Very Poor
VERY POOR,"49.2438378840967, -123.02649915698703",
POOR,"49.24384813827268, -123.19676980010011",
,"49.243855538246606, -123.09989051585507",Good
,"49.243857771663045, -123.10002786366543",Good
,"49.24386193051037, -123.04111352905893",Good
,"49.2438639866276, -123.04564621280001",Very Good
,"49.24386685312599, -123.1313864846477",Good
,"49.24387421847268, -123.08496397074745",Very Good
,"49.24387985711259, -123.10126444509503",Very Good
POOR,"49.24388216241089, -123.10133225534764",
,"49.24388224181428, -123.10140179334564",Good
POOR,"49.24388754542029, -123.13135832770874",
,"49.24388930114673, -123.06493681432686",Very Poor
,"49.243898204806634, -123.10255226005896",Very Good
,"49.24390048003452, -123.10268960819604",Very Good
GOOD,"49.24390202636203, -123.1026199935177",
VERY GOOD,"49.24390314880773, -123.02832130227608",
,"49.243904479254006, -123.09426028440355",Very Good
,"49.24390522653099, -123.13134186696911",Very Good
VERY GOOD,"49.243906587756925, -123.09419054256499",
,"49.24391231752686, -123.03122733032494",Very Good
,"49.24391384529804, -123.09684115418328",Very Good
POOR,"49.243919255802886, -123.03756869247151",
VERY POOR,"49.243919644741425, -123.08496586982898",
,"49.24392218406367, -123.10384851675083",Very Good
VERY POOR,"49.24392271465137, -123.05021931283362",
,"49.24392332843573, -123.0265010175",Very Poor
,"49.24392388623015, -123.10527738584814",Good
,"49.243924462254206, -123.10398585815152",Fair
GOOD,"49.24392488871117, -123.10391628115475",
,"49.24392752432764, -123.1102401091682",Very Good
,"49.24393266662649, -123.07076281625183",Very Good
POOR,"49.24393376569144, -123.0969084855352",
,"49.24393544947891, -123.0501059846184",Very Poor
GOOD,"49.24393849636549, -123.06139131018662",
,"49.243943918759214, -123.10513895143058",Good
,"49.243944648162106, -123.11008676399585",Very Good
VERY POOR,"49.2439467476876, -123.10520671139031",
,"49.24394770093609, -123.09412137537548",Fair
,"49.24394911815718, -123.06901487483465",Fair
,"49.24394976544093, -123.07175187483472",Very Good
GOOD,"49.24394976886276, -123.08593377684268",
,"49.24395505169924, -123.06484135135032",Very Good
,"49.243964163658646, -123.08496149401547",Good
,"49.243983523467136, -123.0627969380308",Good
POOR,"49.24398452899721, -123.07109099537162",
,"49.24398473036197, -123.1374737504009",Very Good
FAIR,"49.24399067197782, -123.16041407865484",
GOOD,"49.24399168834196, -123.05758633199704",
GOOD,"49.243993554946876, -123.06900138098386",
VERY POOR,"49.24399603463954, -123.13749635139241",
,"49.24400132785536, -123.1276624259412",Very Good
,"49.24400340230878, -123.12779978878402",Very Good
,"49.24400740288042, -123.08780018435095",Good
VERY POOR,"49.244024261561385, -123.16554107273427",
,"49.24402526317379, -123.13751513953738",Good
POOR,"49.24403218981645, -123.03127444831755",
VERY POOR,"49.24404274101004, -123.06042312808106",
VERY GOOD,"49.24404756217883, -123.09025797452323",
,"49.24405599280972, -123.06271555651759",Very Good
,"49.24406490848508, -123.12994767281083",Poor
FAIR,"49.244069526571366, -123.13001528932747",
,"49.24407010193654, -123.15331805330072",Very Good
,"49.24407626818319, -123.13008469620505",Good
VERY GOOD,"49.2440799917332, -123.1179379069669",
,"49.24408399691366, -123.06405609917124",Very Good
,"49.24409409512683, -123.14710055225302",Very Good
POOR,"49.24410130460081, -123.14703770437785",
FAIR,"49.24410134786528, -123.04260744947547",
POOR,"49.24410678495065, -123.03026638490688",
,"49.244106827279595, -123.04252215720557",Very Good
VERY POOR,"49.24410725094618, -123.15338444278856",
POOR,"49.24410756554132, -123.08786545639407",
VERY POOR,"49.24411085372299, -123.0277144286165",
,"49.24411193305299, -123.04267810853175",Very Good
,"49.24411559119363, -123.04013894604363",Good
,"49.24411586419931, -123.16350311312183",Very Good
,"49.244117614592454, -123.15345370341274",Fair
,"49.24411835590101, -123.07622340752707",Very Good
,"49.24412311006898, -123.11790100232896",Very Good
,"49.2441243844463, -123.14697242654705",Very Good
,"49.244128286626186, -123.03011674204704",Very Good
,"49.24413311411621, -123.05296788080356",Fair
,"49.24415210081965, -123.16670420211035",Very Good
VERY POOR,"49.2441543517333, -123.04010314255822",
GOOD,"49.24416140718512, -123.16353982508149",
,"49.24416174528812, -123.16904612740184",Fair
POOR,"49.244168842619246, -123.05301447111317",
VERY GOOD,"49.24417161334232, -123.05665348000653",
,"49.244172172981656, -123.17159964057923",Poor
,"49.24418336791127, -123.17435697909913",Fair
VERY GOOD,"49.244183649884505, -123.16492018479623",
,"49.24419209261944, -123.05307329805198",Very Good
,"49.244194496103226, -123.17718836180536",Poor
GOOD,"49.24419700437857, -123.1667198633039",
,"49.244197630620455, -123.1591758013651",Poor
VERY POOR,"49.244206645411246, -123.16906235284613",
,"49.24420695885177, -123.16356387669443",Very Good
,"49.24420767105884, -123.18029157028285",Fair
VERY POOR,"49.244216253121095, -123.14737334876051",
GOOD,"49.2442169859727, -123.17159718679868",
,"49.24422158766467, -123.18359045609503",Good
,"49.24422630444793, -123.05951745261329",Good
GOOD,"49.24422815989288, -123.1743518465202",
,"49.2442291940081, -123.16495270752563",Very Good
,"49.244236410049545, -123.1867235750801",Good
POOR,"49.244239285936814, -123.17718207207484",
FAIR,"49.24423933463333, -123.07002559948714",
,"49.244240381583246, -123.08391235127048",Very Good
,"49.24424218622198, -123.16673646287363",Fair
,"49.24424822361988, -123.09553954625308",Very Good
,"49.24424990117717, -123.18948325395873",Very Good
,"49.24425183383512, -123.16907931982931",Very Good
FAIR,"49.2442524511366, -123.18028706557907",
,"49.244260639719485, -123.19227748243911",Fair
VERY GOOD,"49.244261436359956, -123.08397975722194",
,"49.244262117648205, -123.17159879128778",Good
FAIR,"49.24426636021886, -123.18358440891407",
,"49.24427089302224, -123.19523740596689",Good
,"49.24427734459005, -123.08585677264195",Very Good
NO DATA,"49.24428097569458, -123.18668252926312",
,"49.24428331841422, -123.05658488635558",Fair
VERY POOR,"49.244283376357075, -123.05952603271326",
,"49.244286856068015, -123.1473537645131",Very Good
,"49.244290056991844, -123.11955100444612",Fair
FAIR,"49.244294380356926, -123.09554402125914",
NO DATA,"49.24429481717748, -123.18951273031958",
,"49.24429762435193, -123.18029076088922",Fair
,"49.24430358960439, -123.0608977541154",Fair
FAIR,"49.24430539288247, -123.19227425778695",
,"49.24431154030727, -123.18358951485457",Very Good
FAIR,"49.244315531482755, -123.19520754104845",
,"49.244316114476604, -123.11631192098119",Very Good
